ID	AT	BBP1	BBP2	BBP3	BBP4	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20	e21	e22	e23	e24	e25	e26	e27	e28	e29	e30	e31	e32	e33	e34	e35	e36	e37	e38	e39	e40	e41	e42	e43	e44	e45	e46	e47	e48	e49	e50	e51	e52	e53	e54	e55	e56	e57	e58	e59	e60	e61	e62	e63	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83
r049	926.55	2.75%	3.16%	3.69%	4.23%	5	7	5	6	6	5	5	8	6	5	7	7	8	5	4	6	7	6	5	6	6	6	6	6	5	6	6	6	5	5	6	6	5	6	8	5	4	6	8	6	5	6	7	5	6	7	6	6	5	5	5	7	6	6	7	5	5	6	5	6	6	5	5	5	6	5	7	5	5	7	6	6	4	5	7	5	5	6	8	4	8	6	5	7
r050	1159.39	0.92%	1.21%	1.63%	2.23%	6	6	6	6	6	6	6	6	6	5	6	6	6	5	7	6	6	6	6	6	4	7	6	7	6	4	7	7	5	4	8	4	5	8	4	7	7	6	4	4	5	7	8	5	5	4	8	7	5	4	7	8	5	7	4	7	6	8	5	5	6	6	6	6	5	6	6	7	6	5	7	6	5	6	6	6	6	6	6	5	6	6	6	5
r051	1117.74	1.35%	1.66%	2.19%	2.61%	5	6	7	5	6	5	7	6	5	7	6	6	6	7	5	6	6	6	6	6	5	7	7	5	6	5	7	7	6	5	6	5	6	6	5	6	5	7	5	5	5	7	7	5	5	7	7	7	5	5	6	7	5	5	7	5	6	7	5	5	7	7	5	6	5	7	6	5	7	5	7	5	6	5	6	6	7	5	6	6	6	7	6	5
r052	922.08	2.79%	3.09%	3.87%	4.29%	7	5	5	7	5	7	5	6	7	7	4	5	6	7	4	5	4	6	8	6	5	8	7	4	8	5	5	8	4	6	5	7	4	5	6	7	4	7	6	7	6	6	4	6	7	6	5	6	6	6	7	4	7	4	6	6	7	5	6	5	4	8	5	5	5	8	5	6	6	6	5	6	6	5	5	7	6	6	5	6	5	4	5	6
r053	1247.15	0.44%	0.68%	1.03%	1.48%	7	5	6	6	6	7	6	5	6	5	7	5	5	5	8	6	7	5	6	5	6	5	5	8	6	6	6	5	7	6	5	6	7	5	5	6	8	5	5	6	5	7	6	5	6	5	7	7	5	6	6	6	6	8	5	4	7	7	5	6	6	6	7	4	6	6	5	4	5	8	6	6	6	7	5	7	5	6	6	6	6	6	4	8
r054	1153.54	0.97%	1.45%	2.10%	2.95%	7	4	5	7	6	7	5	6	7	7	4	4	6	7	6	6	4	5	7	5	6	4	7	8	7	6	5	4	6	8	5	6	6	5	5	5	6	7	5	6	7	5	6	7	5	5	6	5	7	8	5	6	5	8	5	5	5	6	7	6	5	6	6	6	6	6	6	5	5	7	5	8	5	6	6	5	5	8	6	5	6	5	6	7
r055	1183.14	0.72%	1.03%	1.77%	2.38%	4	7	7	6	5	4	7	6	6	5	7	7	6	5	6	5	7	5	5	5	7	6	6	6	5	7	6	6	6	6	5	7	6	5	6	7	6	6	6	7	6	4	6	6	5	5	7	4	8	6	7	6	5	6	5	5	7	7	8	5	4	5	6	7	5	5	6	5	6	7	6	5	6	6	6	7	6	5	6	6	6	4	7	7
r056	1240.44	0.30%	0.56%	1.14%	1.71%	4	5	6	6	6	4	6	8	6	4	8	5	8	4	7	6	8	5	4	5	8	7	5	5	4	8	6	7	5	6	7	5	5	7	6	6	7	5	6	5	6	6	7	6	5	7	6	6	6	6	6	7	5	5	7	5	7	6	6	5	5	7	5	6	5	7	6	5	6	7	6	5	6	5	6	7	6	5	5	6	5	5	6	7
r057	1136.75	1.07%	1.56%	2.06%	2.51%	5	6	5	7	5	5	5	8	7	4	7	6	8	4	6	5	7	5	7	5	5	6	7	7	7	5	6	6	6	6	6	6	6	6	4	7	6	7	4	6	5	8	5	5	6	6	7	8	4	6	7	5	6	7	6	5	6	7	4	6	6	7	6	5	6	7	5	5	6	7	6	5	5	6	5	6	6	5	7	5	7	6	5	7
r058	1249.75	0.41%	0.61%	1.00%	1.59%	7	5	6	7	5	7	6	5	7	6	5	5	5	6	7	5	5	6	7	6	6	7	5	6	7	6	5	7	6	5	5	6	6	5	5	8	7	5	5	6	7	5	6	7	5	4	7	5	7	5	8	6	5	6	4	6	6	7	7	5	5	6	5	6	5	6	7	6	5	7	5	7	6	5	7	6	5	7	6	6	6	5	6	7
r059	1082.17	1.52%	1.85%	2.47%	3.15%	5	7	6	4	8	5	6	6	4	6	5	7	6	6	5	8	5	6	5	6	6	4	7	7	5	6	6	4	7	7	5	6	7	5	6	6	5	7	6	6	5	7	6	5	5	6	8	7	5	7	6	6	5	7	6	5	6	8	5	6	5	6	5	7	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	5	7	6
r060	1178.00	0.86%	1.20%	1.75%	2.28%	5	6	7	5	6	5	7	6	5	4	6	6	6	4	8	6	6	7	5	7	8	7	4	4	5	8	4	7	6	5	7	5	6	7	5	6	8	4	5	5	7	6	6	7	5	6	6	6	6	5	6	6	5	4	6	6	5	6	6	6	6	5	5	5	6	5	7	6	5	7	4	8	6	5	7	5	5	8	6	6	6	6	5	7
r061	1161.59	0.87%	1.32%	2.09%	2.79%	5	7	8	6	4	5	8	5	6	5	7	7	5	5	6	4	7	5	8	5	5	5	7	7	8	5	5	5	8	5	5	6	8	5	5	6	6	7	5	6	8	4	6	8	6	5	5	4	6	5	6	6	6	7	5	5	7	5	6	6	7	5	5	6	6	5	7	5	4	5	5	8	5	5	7	7	4	8	5	5	5	7	6	5
